Match Date,Season,City,Team 1,Team 2,Toss Winner,Toss Decision,Dl applied,Result,Winner,Won by Runs,Won by Wickets,Player of the Match,Venue,Umpire 1,Umpire 2,Match Id
2008-05-24,2007/08,Chennai,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,bat,0,normal,Rajasthan Royals,10,0,JA Morkel,"MA Chidambaram Stadium, Chepauk",DJ Harper,SL Shastri,2008-05-24_Chennai Super Kings_Rajasthan Royals
2008-05-23,2007/08,Chandigarh,Kings XI Punjab,Deccan Chargers,Kings XI Punjab,field,0,normal,Kings XI Punjab,0,6,SE Marsh,"Punjab Cricket Association Stadium, Mohali",Asad Rauf,SJ Davis,2008-05-23_Kings XI Punjab_Deccan Chargers
2008-05-21,2007/08,Mumbai,Mumbai Indians,Kings XI Punjab,Mumbai Indians,field,0,normal,Kings XI Punjab,1,0,SE Marsh,Wankhede Stadium,BF Bowden,GA Pratapkumar,2008-05-21_Mumbai Indians_Kings XI Punjab
2008-05-21,2007/08,Chennai,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,0,normal,Royal Challengers Bangalore,14,0,A Kumble,"MA Chidambaram Stadium, Chepauk",DJ Harper,I Shivram,2008-05-21_Chennai Super Kings_Royal Challengers Bangalore
2008-05-20,2007/08,Kolkata,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,0,normal,Rajasthan Royals,0,6,YK Pathan,Eden Gardens,BG Jerling,RE Koertzen,2008-05-20_Kolkata Knight Riders_Rajasthan Royals
2008-05-19,2007/08,Bangalore,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,0,normal,Delhi Daredevils,0,5,SP Goswami,M Chinnaswamy Stadium,SJ Davis,GA Pratapkumar,2008-05-19_Royal Challengers Bangalore_Delhi Daredevils
2008-05-18,2007/08,Hyderabad,Deccan Chargers,Mumbai Indians,Deccan Chargers,field,0,normal,Mumbai Indians,25,0,DJ Bravo,"Rajiv Gandhi International Stadium, Uppal",BR Doctrove,DJ Harper,2008-05-18_Deccan Chargers_Mumbai Indians
2008-05-18,2007/08,Kolkata,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,1,normal,Chennai Super Kings,3,0,M Ntini,Eden Gardens,Asad Rauf,K Hariharan,2008-05-18_Kolkata Knight Riders_Chennai Super Kings
2008-05-17,2007/08,Delhi,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,1,normal,Kings XI Punjab,6,0,DPMD Jayawardene,Feroz Shah Kotla,AV Jayaprakash,RE Koertzen,2008-05-17_Delhi Daredevils_Kings XI Punjab
2008-05-17,2007/08,Jaipur,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,0,normal,Rajasthan Royals,65,0,GC Smith,Sawai Mansingh Stadium,BF Bowden,SL Shastri,2008-05-17_Rajasthan Royals_Royal Challengers Bangalore
2008-05-16,2007/08,Mumbai,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,0,normal,Mumbai Indians,0,8,SM Pollock,Wankhede Stadium,BR Doctrove,DJ Harper,2008-05-16_Mumbai Indians_Kolkata Knight Riders
2008-05-15,2007/08,Delhi,Delhi Daredevils,Deccan Chargers,Deccan Chargers,field,0,normal,Delhi Daredevils,12,0,A Mishra,Feroz Shah Kotla,BG Jerling,GA Pratapkumar,2008-05-15_Delhi Daredevils_Deccan Chargers
2008-05-14,2007/08,Mumbai,Mumbai Indians,Chennai Super Kings,Mumbai Indians,field,0,normal,Mumbai Indians,0,9,ST Jayasuriya,Wankhede Stadium,BR Doctrove,AM Saheba,2008-05-14_Mumbai Indians_Chennai Super Kings
2008-05-13,2007/08,Kolkata,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,0,normal,Kolkata Knight Riders,23,0,Shoaib Akhtar,Eden Gardens,Asad Rauf,IL Howell,2008-05-13_Kolkata Knight Riders_Delhi Daredevils
2008-05-12,2007/08,Chandigarh,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,0,normal,Kings XI Punjab,0,9,SE Marsh,"Punjab Cricket Association Stadium, Mohali",BR Doctrove,I Shivram,2008-05-12_Kings XI Punjab_Royal Challengers Bangalore
2008-05-11,2007/08,Hyderabad,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,bat,0,normal,Kolkata Knight Riders,23,0,SC Ganguly,"Rajiv Gandhi International Stadium, Uppal",IL Howell,AM Saheba,2008-05-11_Deccan Chargers_Kolkata Knight Riders
2008-05-11,2007/08,Jaipur,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,field,0,normal,Rajasthan Royals,0,3,SR Watson,Sawai Mansingh Stadium,SJ Davis,RE Koertzen,2008-05-11_Rajasthan Royals_Delhi Daredevils
2008-05-10,2007/08,Chennai,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,field,0,normal,Chennai Super Kings,18,0,L Balaji,"MA Chidambaram Stadium, Chepauk",AV Jayaprakash,BG Jerling,2008-05-10_Chennai Super Kings_Kings XI Punjab
2008-05-09,2007/08,Jaipur,Rajasthan Royals,Deccan Chargers,Rajasthan Royals,field,0,normal,Rajasthan Royals,0,8,YK Pathan,Sawai Mansingh Stadium,MR Benson,AM Saheba,2008-05-09_Rajasthan Royals_Deccan Chargers
2008-05-08,2007/08,Delhi,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,0,normal,Chennai Super Kings,0,4,MS Dhoni,Feroz Shah Kotla,Aleem Dar,RB Tiffin,2008-05-08_Delhi Daredevils_Chennai Super Kings
2008-05-08,2007/08,Kolkata,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,0,normal,Kolkata Knight Riders,5,0,SC Ganguly,Eden Gardens,Asad Rauf,IL Howell,2008-05-08_Kolkata Knight Riders_Royal Challengers Bangalore
2008-05-07,2007/08,Mumbai,Mumbai Indians,Rajasthan Royals,Mumbai Indians,field,0,normal,Mumbai Indians,0,7,A Nehra,Dr DY Patil Sports Academy,DJ Harper,RE Koertzen,2008-05-07_Mumbai Indians_Rajasthan Royals
2008-05-06,2007/08,Chennai,Chennai Super Kings,Deccan Chargers,Deccan Chargers,field,0,normal,Deccan Chargers,0,7,AC Gilchrist,"MA Chidambaram Stadium, Chepauk",MR Benson,RB Tiffin,2008-05-06_Chennai Super Kings_Deccan Chargers
2008-05-05,2007/08,Bangalore,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,0,normal,Kings XI Punjab,0,6,S Sreesanth,M Chinnaswamy Stadium,SJ Davis,BR Doctrove,2008-05-05_Royal Challengers Bangalore_Kings XI Punjab
