Match Date,Season,City,Team 1,Team 2,Toss Winner,Toss Decision,Dl applied,Result,Winner,Won by Runs,Won by Wickets,Player of the Match,Venue,Umpire 1,Umpire 2,Match Id
2023-05-29,2023,Ahmedabad,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,1,normal,Chennai Super Kings,0,5,DP Conway,"Narendra Modi Stadium, Ahmedabad",Nitin Menon,RJ Tucker,2023-05-29_Gujarat Titans_Chennai Super Kings
2023-05-26,2023,Ahmedabad,Gujarat Titans,Mumbai Indians,Mumbai Indians,field,0,normal,Gujarat Titans,62,0,Shubman Gill,"Narendra Modi Stadium, Ahmedabad",Nitin Menon,RJ Tucker,2023-05-26_Gujarat Titans_Mumbai Indians
2023-05-24,2023,Chennai,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,bat,0,normal,Mumbai Indians,81,0,Akash Madhwal,"MA Chidambaram Stadium, Chepauk, Chennai",BNJ Oxenford,VK Sharma,2023-05-24_Mumbai Indians_Lucknow Super Giants
2023-05-23,2023,Chennai,Chennai Super Kings,Gujarat Titans,Gujarat Titans,field,0,normal,Chennai Super Kings,15,0,RD Gaikwad,"MA Chidambaram Stadium, Chepauk, Chennai",AK Chaudhary,CB Gaffaney,2023-05-23_Chennai Super Kings_Gujarat Titans
2023-05-21,2023,Mumbai,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,0,normal,Mumbai Indians,0,8,C Green,"Wankhede Stadium, Mumbai",KN Ananthapadmanabhan,RJ Tucker,2023-05-21_Sunrisers Hyderabad_Mumbai Indians
2023-05-21,2023,Bengaluru,Royal Challengers Bangalore,Gujarat Titans,Gujarat Titans,field,0,normal,Gujarat Titans,0,6,Shubman Gill,"M Chinnaswamy Stadium, Bengaluru",Nitin Menon,VK Sharma,2023-05-21_Royal Challengers Bangalore_Gujarat Titans
2023-05-20,2023,Delhi,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,0,normal,Chennai Super Kings,77,0,RD Gaikwad,"Arun Jaitley Stadium, Delhi",CB Gaffaney,NA Patwardhan,2023-05-20_Chennai Super Kings_Delhi Capitals
2023-05-20,2023,Kolkata,Lucknow Super Giants,Kolkata Knight Riders,Kolkata Knight Riders,field,0,normal,Lucknow Super Giants,1,0,N Pooran,"Eden Gardens, Kolkata",J Madanagopal,UV Gandhe,2023-05-20_Lucknow Super Giants_Kolkata Knight Riders
2023-05-19,2023,Dharamsala,Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,0,normal,Rajasthan Royals,0,4,D Padikkal,"Himachal Pradesh Cricket Association Stadium, Dharamsala",A Nand Kishore,RJ Tucker,2023-05-19_Punjab Kings_Rajasthan Royals
2023-05-18,2023,Hyderabad,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,0,normal,Royal Challengers Bangalore,0,8,V Kohli,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",BNJ Oxenford,VK Sharma,2023-05-18_Sunrisers Hyderabad_Royal Challengers Bangalore
2023-05-17,2023,Dharamsala,Delhi Capitals,Punjab Kings,Punjab Kings,field,0,normal,Delhi Capitals,15,0,RR Rossouw,"Himachal Pradesh Cricket Association Stadium, Dharamsala",KN Ananthapadmanabhan,MV Saidharshan Kumar,2023-05-17_Delhi Capitals_Punjab Kings
2023-05-16,2023,Lucknow,Lucknow Super Giants,Mumbai Indians,Mumbai Indians,field,0,normal,Lucknow Super Giants,5,0,MP Stoinis,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",AK Chaudhary,A Nand Kishore,2023-05-16_Lucknow Super Giants_Mumbai Indians
2023-05-15,2023,Ahmedabad,Gujarat Titans,Sunrisers Hyderabad,Sunrisers Hyderabad,field,0,normal,Gujarat Titans,34,0,Shubman Gill,"Narendra Modi Stadium, Ahmedabad",J Madanagopal,UV Gandhe,2023-05-15_Gujarat Titans_Sunrisers Hyderabad
2023-05-14,2023,Jaipur,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,0,normal,Royal Challengers Bangalore,112,0,WD Parnell,"Sawai Mansingh Stadium, Jaipur",KN Ananthapadmanabhan,Navdeep Singh,2023-05-14_Royal Challengers Bangalore_Rajasthan Royals
2023-05-14,2023,Chennai,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,0,normal,Kolkata Knight Riders,0,6,RK Singh,"MA Chidambaram Stadium, Chepauk, Chennai",Tapan Sharma,Vinod Seshan,2023-05-14_Chennai Super Kings_Kolkata Knight Riders
2023-05-13,2023,Hyderabad,Sunrisers Hyderabad,Lucknow Super Giants,Sunrisers Hyderabad,bat,0,normal,Lucknow Super Giants,0,7,PN Mankad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",A Totre,J Madanagopal,2023-05-13_Sunrisers Hyderabad_Lucknow Super Giants
2023-05-13,2023,Delhi,Punjab Kings,Delhi Capitals,Delhi Capitals,field,0,normal,Punjab Kings,31,0,P Simran Singh,"Arun Jaitley Stadium, Delhi",CB Gaffaney,NA Patwardhan,2023-05-13_Punjab Kings_Delhi Capitals
2023-05-12,2023,Mumbai,Mumbai Indians,Gujarat Titans,Gujarat Titans,field,0,normal,Mumbai Indians,27,0,SA Yadav,"Wankhede Stadium, Mumbai",Nitin Menon,Tapan Sharma,2023-05-12_Mumbai Indians_Gujarat Titans
2023-05-11,2023,Kolkata,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,0,normal,Rajasthan Royals,0,9,YBK Jaiswal,"Eden Gardens, Kolkata",RJ Tucker,MV Saidharshan Kumar,2023-05-11_Kolkata Knight Riders_Rajasthan Royals
2023-05-10,2023,Chennai,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,0,normal,Chennai Super Kings,27,0,RA Jadeja,"MA Chidambaram Stadium, Chepauk, Chennai",CB Gaffaney,NA Patwardhan,2023-05-10_Chennai Super Kings_Delhi Capitals
2023-05-09,2023,Mumbai,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,0,normal,Mumbai Indians,0,6,SA Yadav,"Wankhede Stadium, Mumbai",HAS Khalid,VK Sharma,2023-05-09_Royal Challengers Bangalore_Mumbai Indians
2023-05-08,2023,Kolkata,Punjab Kings,Kolkata Knight Riders,Punjab Kings,bat,0,normal,Kolkata Knight Riders,0,5,AD Russell,"Eden Gardens, Kolkata",A Totre,J Madanagopal,2023-05-08_Punjab Kings_Kolkata Knight Riders
2023-05-07,2023,Ahmedabad,Gujarat Titans,Lucknow Super Giants,Lucknow Super Giants,field,0,normal,Gujarat Titans,56,0,Shubman Gill,"Narendra Modi Stadium, Ahmedabad",AK Chaudhary,A Nand Kishore,2023-05-07_Gujarat Titans_Lucknow Super Giants
2023-05-07,2023,Jaipur,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,bat,0,normal,Sunrisers Hyderabad,0,4,GD Phillips,"Sawai Mansingh Stadium, Jaipur",Nitin Menon,Vinod Seshan,2023-05-07_Rajasthan Royals_Sunrisers Hyderabad
2023-05-06,2023,Chennai,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,0,normal,Chennai Super Kings,0,6,M Pathirana,"MA Chidambaram Stadium, Chepauk, Chennai",BNJ Oxenford,Navdeep Singh,2023-05-06_Mumbai Indians_Chennai Super Kings
2023-05-06,2023,Delhi,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,bat,0,normal,Delhi Capitals,0,7,PD Salt,"Arun Jaitley Stadium, Delhi",RJ Tucker,YC Barde,2023-05-06_Royal Challengers Bangalore_Delhi Capitals
2023-05-05,2023,Jaipur,Rajasthan Royals,Gujarat Titans,Rajasthan Royals,bat,0,normal,Gujarat Titans,0,9,Rashid Khan,"Sawai Mansingh Stadium, Jaipur",HAS Khalid,VK Sharma,2023-05-05_Rajasthan Royals_Gujarat Titans
2023-05-04,2023,Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,bat,0,normal,Kolkata Knight Riders,5,0,CV Varun,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",KN Ananthapadmanabhan,MA Gough,2023-05-04_Kolkata Knight Riders_Sunrisers Hyderabad
2023-05-03,2023,Lucknow,Lucknow Super Giants,Chennai Super Kings,Chennai Super Kings,field,0,no result,,0,0,,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",AK Chaudhary,NA Patwardhan,2023-05-03_Lucknow Super Giants_Chennai Super Kings
2023-05-03,2023,Chandigarh,Punjab Kings,Mumbai Indians,Mumbai Indians,field,0,normal,Mumbai Indians,0,6,Ishan Kishan,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",J Madanagopal,RJ Tucker,2023-05-03_Punjab Kings_Mumbai Indians
2023-05-02,2023,Ahmedabad,Delhi Capitals,Gujarat Titans,Delhi Capitals,bat,0,normal,Delhi Capitals,5,0,Mohammed Shami,"Narendra Modi Stadium, Ahmedabad",MA Gough,R Pandit,2023-05-02_Delhi Capitals_Gujarat Titans
2023-05-01,2023,Lucknow,Royal Challengers Bangalore,Lucknow Super Giants,Royal Challengers Bangalore,bat,0,normal,Royal Challengers Bangalore,18,0,F du Plessis,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",AK Chaudhary,GR Sadashiv Iyer,2023-05-01_Royal Challengers Bangalore_Lucknow Super Giants
2023-04-30,2023,Chennai,Chennai Super Kings,Punjab Kings,Chennai Super Kings,bat,0,normal,Punjab Kings,0,4,DP Conway,"MA Chidambaram Stadium, Chepauk, Chennai",RJ Tucker,UV Gandhe,2023-04-30_Chennai Super Kings_Punjab Kings
2023-04-30,2023,Mumbai,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,0,normal,Mumbai Indians,0,6,YBK Jaiswal,"Wankhede Stadium, Mumbai",Vinod Seshan,VK Sharma,2023-04-30_Rajasthan Royals_Mumbai Indians
2023-04-29,2023,Kolkata,Kolkata Knight Riders,Gujarat Titans,Gujarat Titans,field,0,normal,Gujarat Titans,0,7,J Little,"Eden Gardens, Kolkata",NA Patwardhan,GR Sadashiv Iyer,2023-04-29_Kolkata Knight Riders_Gujarat Titans
2023-04-29,2023,Delhi,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,bat,0,normal,Sunrisers Hyderabad,9,0,MR Marsh,"Arun Jaitley Stadium, Delhi",MA Gough,Navdeep Singh,2023-04-29_Sunrisers Hyderabad_Delhi Capitals
2023-04-28,2023,Chandigarh,Lucknow Super Giants,Punjab Kings,Punjab Kings,field,0,normal,Lucknow Super Giants,56,0,MP Stoinis,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Nitin Menon,Vinod Seshan,2023-04-28_Lucknow Super Giants_Punjab Kings
2023-04-27,2023,Jaipur,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,0,normal,Rajasthan Royals,32,0,YBK Jaiswal,"Sawai Mansingh Stadium, Jaipur",A Totre,YC Barde,2023-04-27_Rajasthan Royals_Chennai Super Kings
2023-04-26,2023,Bengaluru,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,0,normal,Kolkata Knight Riders,21,0,CV Varun,"M Chinnaswamy Stadium, Bengaluru",KN Ananthapadmanabhan,R Pandit,2023-04-26_Kolkata Knight Riders_Royal Challengers Bangalore
2023-04-25,2023,Ahmedabad,Gujarat Titans,Mumbai Indians,Mumbai Indians,field,0,normal,Gujarat Titans,55,0,A Manohar,"Narendra Modi Stadium, Ahmedabad",AK Chaudhary,A Nand Kishore,2023-04-25_Gujarat Titans_Mumbai Indians
2023-04-24,2023,Hyderabad,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,bat,0,normal,Delhi Capitals,7,0,AR Patel,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",J Madanagopal,RJ Tucker,2023-04-24_Delhi Capitals_Sunrisers Hyderabad
2023-04-23,2023,Bengaluru,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,0,normal,Royal Challengers Bangalore,7,0,GJ Maxwell,"M Chinnaswamy Stadium, Bengaluru",MA Gough,MV Saidharshan Kumar,2023-04-23_Royal Challengers Bangalore_Rajasthan Royals
2023-04-23,2023,Kolkata,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,0,normal,Chennai Super Kings,49,0,AM Rahane,"Eden Gardens, Kolkata",Nitin Menon,Tapan Sharma,2023-04-23_Chennai Super Kings_Kolkata Knight Riders
2023-04-22,2023,Lucknow,Gujarat Titans,Lucknow Super Giants,Gujarat Titans,bat,0,normal,Gujarat Titans,7,0,MM Sharma,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",A Totre,RJ Tucker,2023-04-22_Gujarat Titans_Lucknow Super Giants
2023-04-22,2023,Mumbai,Punjab Kings,Mumbai Indians,Mumbai Indians,field,0,normal,Punjab Kings,13,0,SM Curran,"Wankhede Stadium, Mumbai",CB Gaffaney,GR Sadashiv Iyer,2023-04-22_Punjab Kings_Mumbai Indians
2023-04-21,2023,Chennai,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,field,0,normal,Chennai Super Kings,0,7,RA Jadeja,"MA Chidambaram Stadium, Chepauk, Chennai",HAS Khalid,VK Sharma,2023-04-21_Sunrisers Hyderabad_Chennai Super Kings
2023-04-20,2023,Chandigarh,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,field,0,normal,Royal Challengers Bangalore,24,0,Mohammed Siraj,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",AK Chaudhary,GR Sadashiv Iyer,2023-04-20_Royal Challengers Bangalore_Punjab Kings
2023-04-20,2023,Delhi,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,0,normal,Delhi Capitals,0,4,I Sharma,"Arun Jaitley Stadium, Delhi",MA Gough,R Pandit,2023-04-20_Kolkata Knight Riders_Delhi Capitals
2023-04-19,2023,Jaipur,Lucknow Super Giants,Rajasthan Royals,Rajasthan Royals,field,0,normal,Lucknow Super Giants,10,0,MP Stoinis,"Sawai Mansingh Stadium, Jaipur",J Madanagopal,YC Barde,2023-04-19_Lucknow Super Giants_Rajasthan Royals
2023-04-18,2023,Hyderabad,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,field,0,normal,Mumbai Indians,14,0,C Green,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Nitin Menon,Vinod Seshan,2023-04-18_Mumbai Indians_Sunrisers Hyderabad
2023-04-17,2023,Bengaluru,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,0,normal,Chennai Super Kings,8,0,DP Conway,"M Chinnaswamy Stadium, Bengaluru",KN Ananthapadmanabhan,Navdeep Singh,2023-04-17_Chennai Super Kings_Royal Challengers Bangalore
2023-04-16,2023,Mumbai,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,0,normal,Mumbai Indians,0,5,VR Iyer,"Wankhede Stadium, Mumbai",BNJ Oxenford,UV Gandhe,2023-04-16_Kolkata Knight Riders_Mumbai Indians
2023-04-16,2023,Ahmedabad,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,field,0,normal,Rajasthan Royals,0,3,SO Hetmyer,"Narendra Modi Stadium, Ahmedabad",AK Chaudhary,CB Gaffaney,2023-04-16_Gujarat Titans_Rajasthan Royals
2023-04-15,2023,Bengaluru,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,field,0,normal,Royal Challengers Bangalore,23,0,V Kohli,"M Chinnaswamy Stadium, Bengaluru",KN Ananthapadmanabhan,MV Saidharshan Kumar,2023-04-15_Royal Challengers Bangalore_Delhi Capitals
2023-04-15,2023,Lucknow,Lucknow Super Giants,Punjab Kings,Punjab Kings,field,0,normal,Punjab Kings,0,2,Sikandar Raza,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",HAS Khalid,VK Sharma,2023-04-15_Lucknow Super Giants_Punjab Kings
2023-04-14,2023,Kolkata,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,0,normal,Sunrisers Hyderabad,23,0,HC Brook,"Eden Gardens, Kolkata",CB Gaffaney,GR Sadashiv Iyer,2023-04-14_Sunrisers Hyderabad_Kolkata Knight Riders
2023-04-13,2023,Chandigarh,Punjab Kings,Gujarat Titans,Gujarat Titans,field,0,normal,Gujarat Titans,0,6,MM Sharma,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",A Totre,J Madanagopal,2023-04-13_Punjab Kings_Gujarat Titans
2023-04-12,2023,Chennai,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,0,normal,Rajasthan Royals,3,0,R Ashwin,"MA Chidambaram Stadium, Chepauk, Chennai",Vinod Seshan,VK Sharma,2023-04-12_Rajasthan Royals_Chennai Super Kings
2023-04-11,2023,Delhi,Delhi Capitals,Mumbai Indians,Mumbai Indians,field,0,normal,Mumbai Indians,0,6,RG Sharma,"Arun Jaitley Stadium, Delhi",MA Gough,R Pandit,2023-04-11_Delhi Capitals_Mumbai Indians
2023-04-10,2023,Bengaluru,Royal Challengers Bangalore,Lucknow Super Giants,Lucknow Super Giants,field,0,normal,Lucknow Super Giants,0,1,N Pooran,"M Chinnaswamy Stadium, Bengaluru",AK Chaudhary,A Nand Kishore,2023-04-10_Royal Challengers Bangalore_Lucknow Super Giants
2023-04-09,2023,Ahmedabad,Gujarat Titans,Kolkata Knight Riders,Gujarat Titans,bat,0,normal,Kolkata Knight Riders,0,3,RK Singh,"Narendra Modi Stadium, Ahmedabad",Nitin Menon,Tapan Sharma,2023-04-09_Gujarat Titans_Kolkata Knight Riders
2023-04-09,2023,Hyderabad,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,0,normal,Sunrisers Hyderabad,0,8,S Dhawan,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",BNJ Oxenford,UV Gandhe,2023-04-09_Punjab Kings_Sunrisers Hyderabad
2023-04-08,2023,Guwahati,Rajasthan Royals,Delhi Capitals,Delhi Capitals,field,0,normal,Rajasthan Royals,57,0,YBK Jaiswal,"Barsapara Cricket Stadium, Guwahati",Navdeep Singh,MV Saidharshan Kumar,2023-04-08_Rajasthan Royals_Delhi Capitals
2023-04-08,2023,Mumbai,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,0,normal,Chennai Super Kings,0,7,RA Jadeja,"Wankhede Stadium, Mumbai",CB Gaffaney,NA Patwardhan,2023-04-08_Mumbai Indians_Chennai Super Kings
2023-04-07,2023,Lucknow,Sunrisers Hyderabad,Lucknow Super Giants,Sunrisers Hyderabad,bat,0,normal,Lucknow Super Giants,0,5,KH Pandya,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",J Madanagopal,YC Barde,2023-04-07_Sunrisers Hyderabad_Lucknow Super Giants
2023-04-06,2023,Kolkata,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,0,normal,Kolkata Knight Riders,81,0,SN Thakur,"Eden Gardens, Kolkata",Vinod Seshan,VK Sharma,2023-04-06_Kolkata Knight Riders_Royal Challengers Bangalore
2023-04-05,2023,Guwahati,Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,0,normal,Punjab Kings,5,0,NT Ellis,"Barsapara Cricket Stadium, Guwahati",KN Ananthapadmanabhan,MV Saidharshan Kumar,2023-04-05_Punjab Kings_Rajasthan Royals
2023-04-04,2023,Delhi,Delhi Capitals,Gujarat Titans,Gujarat Titans,field,0,normal,Gujarat Titans,0,6,B Sai Sudharsan,"Arun Jaitley Stadium, Delhi",A Nand Kishore,GR Sadashiv Iyer,2023-04-04_Delhi Capitals_Gujarat Titans
2023-04-03,2023,Chennai,Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,field,0,normal,Chennai Super Kings,12,0,MM Ali,"MA Chidambaram Stadium, Chepauk, Chennai",A Totre,BNJ Oxenford,2023-04-03_Chennai Super Kings_Lucknow Super Giants
2023-04-02,2023,Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,0,normal,Rajasthan Royals,72,0,JC Buttler,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",KN Ananthapadmanabhan,R Pandit,2023-04-02_Rajasthan Royals_Sunrisers Hyderabad
2023-04-02,2023,Bengaluru,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,0,normal,Royal Challengers Bangalore,0,8,F du Plessis,"M Chinnaswamy Stadium, Bengaluru",Nitin Menon,Tapan Sharma,2023-04-02_Mumbai Indians_Royal Challengers Bangalore
2023-04-01,2023,Chandigarh,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,1,normal,Punjab Kings,7,0,Arshdeep Singh,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",BNJ Oxenford,YC Barde,2023-04-01_Punjab Kings_Kolkata Knight Riders
2023-04-01,2023,Lucknow,Lucknow Super Giants,Delhi Capitals,Delhi Capitals,field,0,normal,Lucknow Super Giants,50,0,MA Wood,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",AK Chaudhary,NA Patwardhan,2023-04-01_Lucknow Super Giants_Delhi Capitals
2023-03-31,2023,Ahmedabad,Chennai Super Kings,Gujarat Titans,Gujarat Titans,field,0,normal,Gujarat Titans,0,5,Rashid Khan,"Narendra Modi Stadium, Ahmedabad",Nitin Menon,HAS Khalid,2023-03-31_Chennai Super Kings_Gujarat Titans
2022-05-29,2022,Ahmedabad,Rajasthan Royals,Gujarat Titans,Rajasthan Royals,bat,0,normal,Gujarat Titans,0,7,HH Pandya,"Narendra Modi Stadium, Ahmedabad",CB Gaffaney,Nitin Menon,2022-05-29_Rajasthan Royals_Gujarat Titans
2022-05-27,2022,Ahmedabad,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,0,normal,Rajasthan Royals,0,7,JC Buttler,"Narendra Modi Stadium, Ahmedabad",CB Gaffaney,Nitin Menon,2022-05-27_Royal Challengers Bangalore_Rajasthan Royals
2022-05-25,2022,Kolkata,Royal Challengers Bangalore,Lucknow Super Giants,Lucknow Super Giants,field,0,normal,Royal Challengers Bangalore,14,0,RM Patidar,"Eden Gardens, Kolkata",J Madanagopal,MA Gough,2022-05-25_Royal Challengers Bangalore_Lucknow Super Giants
2022-05-24,2022,Kolkata,Rajasthan Royals,Gujarat Titans,Gujarat Titans,field,0,normal,Gujarat Titans,0,7,DA Miller,"Eden Gardens, Kolkata",BNJ Oxenford,VK Sharma,2022-05-24_Rajasthan Royals_Gujarat Titans
2022-05-22,2022,Mumbai,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,bat,0,normal,Punjab Kings,0,5,Harpreet Brar,"Wankhede Stadium, Mumbai",AK Chaudhary,NA Patwardhan,2022-05-22_Sunrisers Hyderabad_Punjab Kings
2022-05-21,2022,Mumbai,Delhi Capitals,Mumbai Indians,Mumbai Indians,field,0,normal,Mumbai Indians,0,5,JJ Bumrah,"Wankhede Stadium, Mumbai",Nitin Menon,Tapan Sharma,2022-05-21_Delhi Capitals_Mumbai Indians
2022-05-20,2022,Mumbai,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,0,normal,Rajasthan Royals,0,5,R Ashwin,"Brabourne Stadium, Mumbai",CB Gaffaney,NA Patwardhan,2022-05-20_Chennai Super Kings_Rajasthan Royals
2022-05-19,2022,Mumbai,Gujarat Titans,Royal Challengers Bangalore,Gujarat Titans,bat,0,normal,Royal Challengers Bangalore,0,8,V Kohli,"Wankhede Stadium, Mumbai",KN Ananthapadmanabhan,GR Sadashiv Iyer,2022-05-19_Gujarat Titans_Royal Challengers Bangalore
2022-05-18,2022,Navi Mumbai,Lucknow Super Giants,Kolkata Knight Riders,Lucknow Super Giants,bat,0,normal,Lucknow Super Giants,2,0,Q de Kock,"Dr DY Patil Sports Academy, Mumbai",R Pandit,YC Barde,2022-05-18_Lucknow Super Giants_Kolkata Knight Riders
2022-05-17,2022,Mumbai,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,0,normal,Sunrisers Hyderabad,3,0,RA Tripathi,"Wankhede Stadium, Mumbai",CB Gaffaney,N Pandit,2022-05-17_Sunrisers Hyderabad_Mumbai Indians
2022-05-16,2022,Navi Mumbai,Delhi Capitals,Punjab Kings,Punjab Kings,field,0,normal,Delhi Capitals,17,0,SN Thakur,"Dr DY Patil Sports Academy, Mumbai",GR Sadashiv Iyer,Nitin Menon,2022-05-16_Delhi Capitals_Punjab Kings
2022-05-15,2022,Mumbai,Chennai Super Kings,Gujarat Titans,Chennai Super Kings,bat,0,normal,Gujarat Titans,0,7,WP Saha,"Wankhede Stadium, Mumbai",R Pandit,VK Sharma,2022-05-15_Chennai Super Kings_Gujarat Titans
2022-05-15,2022,Mumbai,Rajasthan Royals,Lucknow Super Giants,Rajasthan Royals,bat,0,normal,Rajasthan Royals,24,0,TA Boult,"Brabourne Stadium, Mumbai",PG Pathak,Tapan Sharma,2022-05-15_Rajasthan Royals_Lucknow Super Giants
2022-05-14,2022,Pune,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,bat,0,normal,Kolkata Knight Riders,54,0,AD Russell,"Maharashtra Cricket Association Stadium, Pune",AK Chaudhary,KN Ananthapadmanabhan,2022-05-14_Kolkata Knight Riders_Sunrisers Hyderabad
2022-05-13,2022,Mumbai,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,0,normal,Punjab Kings,54,0,JM Bairstow,"Brabourne Stadium, Mumbai",J Madanagopal,N Pandit,2022-05-13_Punjab Kings_Royal Challengers Bangalore
2022-05-12,2022,Mumbai,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,0,normal,Mumbai Indians,0,5,DR Sams,"Wankhede Stadium, Mumbai",Chirra Ravikanthreddy,CB Gaffaney,2022-05-12_Chennai Super Kings_Mumbai Indians
2022-05-11,2022,Navi Mumbai,Rajasthan Royals,Delhi Capitals,Delhi Capitals,field,0,normal,Delhi Capitals,0,8,MR Marsh,"Dr DY Patil Sports Academy, Mumbai",NA Patwardhan,Nitin Menon,2022-05-11_Rajasthan Royals_Delhi Capitals
2022-05-10,2022,Pune,Gujarat Titans,Lucknow Super Giants,Gujarat Titans,bat,0,normal,Gujarat Titans,62,0,Shubman Gill,"Maharashtra Cricket Association Stadium, Pune",KN Ananthapadmanabhan,MA Gough,2022-05-10_Gujarat Titans_Lucknow Super Giants
2022-05-09,2022,Navi Mumbai,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,0,normal,Kolkata Knight Riders,52,0,JJ Bumrah,"Dr DY Patil Sports Academy, Mumbai",CB Gaffaney,GR Sadashiv Iyer,2022-05-09_Kolkata Knight Riders_Mumbai Indians
2022-05-08,2022,Mumbai,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,bat,0,normal,Royal Challengers Bangalore,67,0,PWH de Silva,"Wankhede Stadium, Mumbai",BNJ Oxenford,N Pandit,2022-05-08_Royal Challengers Bangalore_Sunrisers Hyderabad
2022-05-08,2022,Navi Mumbai,Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,0,normal,Chennai Super Kings,91,0,DP Conway,"Dr DY Patil Sports Academy, Mumbai",Nitin Menon,R Pandit,2022-05-08_Chennai Super Kings_Delhi Capitals
2022-05-07,2022,Mumbai,Punjab Kings,Rajasthan Royals,Punjab Kings,bat,0,normal,Rajasthan Royals,0,6,YBK Jaiswal,"Wankhede Stadium, Mumbai",Chirra Ravikanthreddy,YC Barde,2022-05-07_Punjab Kings_Rajasthan Royals
